,ids,exp
1516,1459,1
1517,180,1
1518,168,2
1519,462,2
1520,3578,2
1521,1496,1
1522,2856,1
1523,3035,1
1524,1456,1
1525,3023,2
1526,2806,1
1527,2623,2
1528,3575,3
1529,2708,1
1530,1445,1
1531,3098,1
1532,151,1
1533,809,1
1534,1648,4
1535,2965,6
1536,134,1
1537,519,10
1538,2797,1
1539,3550,1
1540,3133,2
1541,3628,3
1542,1998,2
1543,2152,3
1544,2109,3
1545,615,2
1546,1984,2
1547,1977,1
1548,1048,2
1549,1331,1
1550,3273,4
1551,2887,2
1552,3021,3
1553,926,1
1554,3837,1
1555,848,3
1556,2015,1
1557,1006,1
1558,1548,1
1559,1542,1
1560,2514,2
1561,41,1
1562,3573,1
1563,2740,1
1564,3485,1
1565,2664,2
1566,416,1
1567,2882,1
1568,990,1
1569,1893,2
1570,1926,1
1571,3823,1
1572,3791,2
1573,3609,1
1574,1329,1
1575,2302,2
1576,1894,6
1577,2605,1
1578,1323,1
1579,1297,2
1580,2681,3
1581,1693,3
1582,861,1
1583,2265,2
1584,2995,3
1585,2051,8
1586,3240,1
1587,3537,2
1588,734,1
1589,3117,2
1590,513,2
1591,194,1
1592,2028,2
1593,1612,1
1594,275,3
1595,1732,1
1596,440,5
1597,3737,2
1598,3713,2
1599,3706,4
1600,2826,1
1601,2999,2
1602,2040,1
1603,3116,1
1604,302,2
1605,2659,2
1606,2801,1
1607,3794,1
1608,3717,1
1609,3597,5
1610,1065,1
1611,892,1
1612,1978,1
1613,3732,2
1614,223,3
1615,2924,1
1616,1361,1
1617,3719,1
1618,3356,1
1619,3822,1
1620,3552,2
1621,2518,1
1622,2116,1
1623,3936,3
1624,3323,1
1625,1174,1
1626,2281,3
1627,2992,5
1628,2763,1
1629,2032,2
1630,2855,2
1631,3506,3
1632,2154,2
1633,2713,2
1634,1408,2
1635,1237,1
1636,2650,1
1637,3400,1
1638,3897,1
1639,2091,2
1640,2161,1
1641,887,2
1642,125,1
1643,408,1
1644,2071,7
1645,516,2
1646,2436,1
1647,2945,3
1648,2112,1
1649,3813,3
1650,3812,2
1651,3809,1
1652,425,2
1653,1482,1
1654,54,1
1655,2438,2
1656,2456,1
1657,53,2
1658,1004,3
1659,880,1
1660,580,1
1661,2935,1
1662,2321,3
1663,422,1
1664,2629,1
1665,3181,1
1666,1700,1
1667,1903,2
1668,1963,4
1669,1149,2
1670,2314,1
1671,3832,1
1672,1475,2
1673,1405,1
1674,2970,3
1675,2821,1
1676,920,1
1677,3438,2
1678,3504,1
1679,3826,1
1680,953,2
1681,1056,3
1682,1610,1
1683,1706,4
1684,3923,1
1685,2549,1
1686,2781,1
1687,2369,1
1688,1095,4
1689,2719,1
1690,3049,1
1691,3059,1
1692,3115,1
1693,3520,3
1694,3166,1
1695,1938,1
1696,2919,2
1697,321,1
1698,1678,1
1699,2506,1
1700,2976,1
1701,2548,1
1702,539,1
1703,2431,1
1704,202,1
1705,1223,2
1706,2389,1
1707,1384,5
1708,1305,1
