,ids,exp
1148,3685,31
1149,3681,19
1150,2177,3
1151,1961,15
1152,940,5
1153,679,6
1154,2363,1
1155,958,1
1156,2692,1
1157,135,1
1158,3283,13
1159,2670,2
1160,2326,3
1161,294,9
1162,3521,1
1163,1791,9
1164,1435,17
1165,3312,4
1166,1586,9
1167,2295,7
1168,1796,10
1169,3467,12
1170,1812,3
1171,3044,1
1172,2872,4
1173,420,9
1174,982,5
1175,2359,26
1176,3498,6
1177,152,3
1178,952,2
1179,2221,2
1180,2355,1
1181,1245,10
1182,2984,2
1183,3528,3
1184,2135,4
1185,3397,25
1186,2191,2
1187,1203,3
1188,3045,10
1189,1704,4
1190,626,2
1191,323,10
1192,2936,10
1193,1211,5
1194,162,3
1195,2800,8
1196,1247,31
1197,393,5
1198,551,2
1199,2633,92
1200,521,7
1201,1512,1
1202,2440,4
1203,3683,32
1204,2809,4
1205,506,7
1206,3039,4
1207,2593,3
1208,881,2
1209,2246,2
1210,1655,3
1211,1566,9
1212,632,3
1213,1136,11
1214,58,7
1215,2947,9
1216,3246,12
1217,1511,1
1218,112,1
1219,1461,4
1220,2792,11
1221,2700,1
1222,2504,4
1223,2209,10
1224,3209,9
1225,2211,1
1226,1249,29
1227,249,3
1228,1912,6
1229,351,2
1230,2559,2
1231,2041,3
1232,2474,20
1233,1399,5
1234,962,1
1235,1286,4
1236,136,12
1237,401,4
1238,758,5
1239,13,3
1240,848,3
1241,3496,1
1242,1246,1
1243,1778,9
1244,139,4
1245,956,7
1246,441,4
1247,457,9
1248,2336,28
1249,1870,1
1250,1048,1
1251,2765,33
1252,1121,3
1253,3305,22
1254,164,2
1255,3059,46
1256,2962,20
1257,2353,7
1258,1404,2
1259,3145,1
1260,2301,2
1261,2413,1
1262,1634,1
1263,3615,13
1264,2960,6
1265,3589,23
1266,670,1
1267,3320,12
1268,777,2
1269,2783,24
1270,923,4
1271,1739,3
1272,3224,3
1273,2388,2
1274,3655,4
1275,3513,1
1276,1506,13
1277,3509,35
1278,1942,7
1279,1755,3
1280,882,4
1281,2879,3
1282,2431,4
1283,883,2
1284,2926,1
1285,2732,1
1286,1930,1
1287,3024,6
1288,1348,7
1289,955,1
1290,2302,2
1291,3678,10
1292,3705,29
1293,694,1
1294,2598,3
1295,1768,7
1296,2470,26
1297,1857,1
1298,121,5
1299,297,25
1300,2523,3
1301,2873,11
1302,893,5
1303,1933,2
1304,1633,18
1305,1981,3
1306,359,1
1307,704,9
1308,396,8
1309,641,2
1310,2086,25
