,ids,exp
1676,4627,57
1677,3638,62
1678,4916,30
1679,3605,18
1680,6474,21
1681,293,26
1682,3488,77
1683,3344,82
1684,5216,47
1685,4988,64
1686,579,141
1687,5195,73
1688,5306,17
1689,2999,50
1690,602,44
1691,1003,27
1692,1429,25
1693,3015,126
1694,1918,14
1695,2069,33
1696,5674,65
1697,3004,218
1698,1475,44
1699,3261,49
1700,3289,355
1701,5746,163
1702,1432,44
1703,2969,38
1704,2602,11
1705,1654,6
1706,5171,26
1707,5771,22
1708,1590,97
1709,6062,58
1710,5244,539
1711,5632,31
1712,1904,145
1713,779,17
1714,5684,103
1715,2532,13
1716,5857,8
1717,2082,82
1718,2117,123
1719,1718,128
1720,4872,82
1721,2006,141
1722,4767,184
1723,353,94
1724,6450,40
1725,3739,179
1726,2849,40
1727,1703,93
1728,5019,185
1729,1881,280
1730,5879,78
1731,4875,297
1732,4459,335
1733,5299,192
1734,932,21
1735,2981,145
1736,4413,67
1737,6174,46
1738,5937,50
1739,5440,67
1740,2288,14
1741,3833,60
1742,3414,10
1743,957,141
1744,6544,86
1745,4197,33
1746,4832,75
1747,4755,56
1748,5135,53
1749,3093,12
1750,3813,123
1751,6384,15
1752,4910,35
1753,4000,24
1754,5442,27
1755,4499,17
1756,4149,34
1757,3053,225
1758,3625,133
1759,1298,111
1760,5890,302
1761,4111,57
1762,210,92
1763,5991,62
1764,821,36
1765,2088,19
1766,2480,28
1767,437,62
1768,722,20
1769,809,23
1770,4383,47
1771,1916,51
1772,5881,79
1773,6417,117
1774,2891,29
1775,226,9
1776,3195,26
1777,4934,38
1778,2761,146
1779,313,80
1780,2389,140
1781,461,6
1782,5093,7
1783,2395,51
1784,3290,139
1785,2533,46
1786,3754,54
1787,6280,248
1788,4164,93
1789,6272,73
1790,1871,38
1791,252,37
1792,2904,14
1793,4183,51
1794,684,69
1795,4151,172
1796,6003,197
1797,5874,35
1798,2593,27
1799,4881,79
1800,2351,19
1801,245,59
1802,2986,221
1803,2398,309
1804,965,159
1805,2414,52
1806,4812,134
1807,3875,318
1808,3397,9
1809,5628,16
1810,4744,39
1811,515,1
1812,4369,6
1813,1079,28
1814,4918,19
1815,3423,26
1816,1378,23
1817,662,18
1818,1006,133
1819,1076,2
1820,3185,83
1821,4029,44
1822,5005,78
1823,3376,34
1824,168,319
1825,3418,67
1826,4751,98
1827,2577,374
1828,3238,122
1829,5105,48
1830,3659,70
1831,5382,77
1832,3623,25
1833,1129,24
1834,360,60
1835,644,28
1836,5246,149
1837,3243,65
1838,5976,41
1839,4245,134
1840,4825,50
1841,2108,56
1842,5109,34
1843,1394,44
1844,564,38
1845,5426,93
1846,1890,59
1847,5722,117
1848,765,56
1849,1,64
1850,1773,38
1851,3915,96
1852,1114,83
1853,5160,88
1854,5344,105
1855,2568,28
1856,3850,78
1857,1680,141
1858,6114,117
1859,251,67
1860,2473,75
1861,1247,39
1862,5224,53
1863,2636,41
1864,1454,33
1865,1360,55
1866,804,149
1867,2922,25
1868,6557,97
